#{"t_start": 1678706404.2886567, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-1162.6,350,23.224626,3038.8347254861765,4968.688352039006,4793.855940028333,7270.874470770389,5051.493159536816,-1147.5167718587522,-737.3199502486963
-646.3,326,49.603711,877.7717884641696,693.3748555332153,2376.5902105557884,2244.7608165253887,2596.0119282830956,-925.7599567974031,-746.2703014426819
-931.7,339,75.950898,2283.726697087995,1955.2024185204425,4191.774606519271,3604.666115348576,3380.667517224611,-1037.066949201982,-808.8694554546307
-1068.1,346,100.587635,3021.9884871356053,4093.7736639112154,5099.000603040377,6582.0538577249645,6354.658182769969,-1076.8381511933735,-901.3073923379551
-1074.2,343,125.241127,2193.7605919173343,2664.470234435178,4960.876818453914,5579.329336976569,4794.053183152186,-1086.3032936513619,-948.2434727872921
-762.9,342,153.387277,773.0813547556513,931.1830207257805,2238.6437088567372,2514.7098204880012,3344.9158319588105,-933.5334716510135,-1368.2383363783965
-1175.8,344,177.628205,3760.3174790545972,4512.313006802464,6311.6816591910865,7918.034075174514,6417.529079406557,-1131.095372639655,-855.4102432344757
-636.1,333,205.774204,673.2204785456546,1172.5744924637506,2198.498851175232,2354.3211582556387,2442.810357032499,-811.241501055004,-1215.6975931538088
-566.8,322,235.360858,436.40804921296353,440.4299728514947,1898.893935808074,2123.097941675678,1770.9155696516816,-759.4593493563716,-2226.385117765717
-279.0,324,266.077062,418.54598003333047,343.58723844976885,1426.5830430079009,1118.6014524164725,1279.3002929307627,-396.2096578046562,-1367.9335644481955
-1027.1,340,319.440363,473.1243877709153,0.0,0.0,8624.153672648554,0.0,-905.3627748985804,-25770.81620959911
-1004.0,340,345.375731,492.81884471672237,0.0,0.0,8230.607702376488,0.0,-901.7944557403075,-25436.918123087147
-1004.0,340,372.362253,492.81884471672237,0.0,0.0,8230.607702376488,0.0,-901.7944557403075,-25436.918123087147
-224.2,325,409.020262,401.85318466791784,348.35826773885185,1499.6984106021264,946.3409725582943,1306.881794889082,-348.18284392217987,-1243.5042284871129
-186.7,330,442.053575,386.2006758027491,324.9615062855055,1248.1645392084563,1045.5571133975766,1334.75172262201,-240.00072378341582,-1298.2338497668543
-64.0,304,472.400143,364.70856797320516,337.4426211157691,495.3155583900623,597.5042594966172,777.954644435217,-38.661387137006784,-1926.6360274194049
-110.2,319,507.944543,365.67547268262575,334.69399594577015,690.5081430429218,1155.622491544832,1114.0889667571166,-222.9123177810513,-1161.043347061893
-112.0,303,541.749816,345.61374694902645,334.3629924977029,0.0,625.5771968915957,874.8061817959642,-29.571428517523284,-2417.058229501597
-137.8,314,576.400027,371.437483436215,322.29466808380965,1008.828189787993,1053.9493032866576,1225.5920838855316,-266.8298348904464,-686.4077103239208
-98.0,303,609.429774,359.73412112635333,338.67547920819993,593.4348516307721,683.6546761206596,892.9634489335199,-52.92704444552639,-1253.9749833631429
-215.9,325,645.529902,409.03062869377817,511.3292676436699,1180.7815945242155,1532.82292939456,1457.3653170440589,-272.0367486306736,-896.4790727680441
-73.0,302,680.299952,368.1515357866541,332.05272962099224,631.3483802250402,594.2040276439863,828.8998468485853,-41.344668710006545,-1843.8191616261122
-151.7,302,716.685652,391.0184142885747,331.32588788641806,741.3711150813245,1335.3530375648336,1210.148119161867,-167.82078842236203,-1066.5921443818418
