#{"t_start": 1678696407.6199613, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-1102.1,343,22.99406,4309.47625996343,4106.796806081669,5561.378589022472,6280.94942638523,5180.413466395055,-1133.4428851165148,-623.2688456178677
-1221.0,361,51.410459,3714.1586076939234,6021.8332747151935,6470.243522311757,8051.634097453394,6105.11880727443,-1194.7262689867173,-815.3871020204502
-1148.0,355,76.631864,3896.1745303777143,4761.320697965391,5758.51621351764,6416.894251230841,4950.509741536218,-1160.810790566025,-1057.255273120249
-1362.2,353,101.733438,6572.608941639455,6466.087985465629,8921.885224869971,7614.228804093546,9832.583641602896,-1254.6894806913176,-796.5067455635675
-1627.0,354,126.310581,7562.106057389872,4899.480668702303,8895.497110732693,7529.712955549805,5900.823441969064,-1400.333223029763,-734.3945106769922
-1573.2,355,151.935784,7232.450862269884,4433.8591842609985,8562.987023137857,5902.1390933054345,5485.2374936322,-1384.6977378919282,-728.3628377064977
-1748.4,366,179.240057,7152.353237367219,4029.5710925988374,9983.515121853625,6973.530999395504,10612.489002528651,-1454.4411679605976,-761.4252918323122
-1399.9,360,205.381454,4727.663220672747,3943.877033579567,6269.9754403144725,6207.437636537216,5366.636635052259,-1304.3567726485833,-694.0228173045151
-1359.9,346,231.284186,5089.440788945085,3770.9631155654133,7090.922690108822,5629.456739419067,5573.842721193224,-1155.2595138478837,-920.534772760486
-1465.6,352,258.443228,6280.147193021327,3147.655002542865,7445.561987539816,7016.590314646899,5397.394866816672,-1369.1309934107926,-823.4928903267391
-1531.4,329,305.289197,4510.130739554847,0.0,0.0,9470.001410298571,10544.715164822843,-1445.596759147963,-7902.485070858534
-1475.2,341,332.55865,4315.75900396771,0.0,4632.831397401625,2905.238214679429,8000.0816356694695,-1466.3394650988105,-16077.663867996878
-1475.2,341,359.373883,4315.75900396771,0.0,4632.831397401625,2905.238214679429,8000.0816356694695,-1466.3394650988105,-16077.663867996878
-954.9,350,393.841177,3707.786651861393,3148.947838413374,6234.3493583141835,6235.023228758133,4683.176644557418,-1061.1425069914853,-845.139221922522
-1419.2,359,420.877265,5627.029300204005,4169.3277433234625,8182.824576550155,6110.239925169824,6140.480530978361,-1285.3848995628573,-775.5157102090374
-561.7,310,447.259484,969.0975905215003,1359.5198829710596,2332.643082151431,2764.855298524258,2972.29081081164,-830.5574801749572,-1013.7306943169622
-625.0,339,480.027824,811.7505463733694,657.8657047617829,2594.3037230548616,2807.720809379552,2232.332507759535,-878.3317653776172,-931.2722696436111
-1164.1,330,505.871321,4140.993761938221,2291.543932062968,5423.203896017896,5206.8657743730455,3901.5860056228657,-1182.02086667836,-1091.6704482510768
-980.5,354,535.494122,2264.66451966712,1875.7045349209366,4269.634164324658,4188.014261419017,2693.739819416921,-1035.8692896125383,-1090.0457794686079
-1357.5,358,561.887311,4146.170214783028,3161.0737265726234,7293.917718051118,6150.443984419014,5456.8239539564875,-1229.9800796501584,-1499.1197356878347
-129.3,304,589.474215,373.1605340936864,344.7062745730562,994.0627931700647,1021.857472864318,1491.999869521892,-289.8848788493796,-1007.0973352168505
-17.0,303,624.589182,356.5056981745972,324.91567578020465,751.7571967890527,686.9645727253394,808.2720773778681,-96.0153897900538,-1147.9752871871472
-40.0,304,661.383685,350.8247859372065,349.08745062217156,611.5725560963264,758.4404909264559,796.9490565791373,-65.99674767703038,-920.7227204407436
-235.1,303,708.30405,432.3856170531275,0.0,0.0,0.0,0.0,-109.06331372755898,-25384.010038827815
-234.1,303,734.369493,432.3856170531275,0.0,0.0,0.0,0.0,-109.06331372755898,-25384.010038827815
-246.1,303,760.062538,432.3856170531275,0.0,0.0,0.0,0.0,-109.06331372755898,-25384.010038827815
-52.6,305,806.272727,349.88233037278127,327.65500781626054,863.9176743903157,989.8404291040513,1132.1996747402527,-162.5819704554429,-901.0078569923719
