#{"t_start": 1678718834.426524, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-1051.5,344,20.087205,2192.0760197172344,4405.182825000567,4730.369687203153,7192.408187290086,5820.750875343872,-1093.216737653167,-719.9335116628338
-1053.5,343,44.000309,2737.028182366252,3731.593538115327,4614.0835764271715,6373.987484146329,5103.054415429688,-1046.8739623916736,-646.3982608595888
-330.8,317,71.442561,370.95453097814783,386.11505066148004,1258.7270274475345,1389.9398286520402,1473.3077774242388,-492.43842778526573,-1321.6188671679888
-305.8,317,101.282673,378.1764710194148,349.4884962654044,1011.0255526776223,1483.5166916221297,1591.9107508655475,-423.85759602174664,-1864.7441991432447
-236.0,309,131.014331,355.32048905811183,336.6387175269408,984.6071453984781,1278.7786284340486,1659.8088489191332,-349.27341473263135,-1377.0840342048914
-543.1,308,160.75969,413.3807387338868,616.258783770961,1775.1585654671783,2068.950345607158,2704.6786351091896,-606.098191881003,-1704.493383457148
-427.8,312,190.804421,577.5934305229703,477.3477206899867,950.6490107181064,1817.1998215012159,2441.5194902052767,-487.5748184960634,-1727.8781340516862
-217.4,311,221.492601,357.2207339315219,369.7482657734305,962.0694877951912,964.7073416607666,1485.345785256634,-249.6849074689819,-1384.5805938352942
-246.5,302,251.459223,368.14658810749046,370.06837511005443,864.9712343237342,1554.737330774046,979.0805903085823,-292.86508991894976,-1836.5006022434945
-766.8,322,279.324338,1065.3132106170108,1748.5187792701472,2537.6691084919667,2809.2197897872056,3324.1432195462476,-857.4262074985072,-653.0792257088219
-1476.3,352,329.502831,316.4219648645251,916.0167617185637,9158.313105988544,7222.108246446436,0.0,-1250.973567589775,-28023.737778183073
-1140.9,353,356.474321,479.64490884291433,575.1554620589799,8078.700459903165,4070.674363541009,2644.9703338363274,-1065.3819238027509,-13525.33503903776
-852.5,352,383.586189,368.44320350183125,472.9962121310281,5195.388474057761,2036.9626846247716,2171.43405820052,-882.5747382396179,-11414.696207334597
-197.6,304,418.822538,342.80141794175745,333.8570102066027,1134.9122446325482,1237.8083898404457,1498.9179739545516,-291.6986415824663,-796.4879134682025
-577.8,303,447.44,638.6753147103827,737.5827619212549,2002.1096734519228,2699.015144075776,2537.16005981303,-632.4884957165298,-942.5863079414318
-596.4,304,474.929405,750.9728063607214,941.1310018609706,1471.3565412475987,2597.2801105171993,3640.116818644938,-739.9776022297985,-756.6833827694246
-325.2,308,504.691882,384.8690815938097,374.9814481564488,1065.227464434512,1574.287116618644,1916.142468410303,-420.5524014624697,-797.19572846412
-105.0,304,536.257132,384.91007210559883,357.7078610306434,543.4895271964787,826.312058226626,932.1712028438566,-81.45835906256555,-891.5697291127798
-108.7,305,569.692502,367.6952708502015,344.4273309953009,721.6394551216439,897.0027443484367,1066.3144311860349,-151.03447220077848,-770.9841901363917
-353.0,306,602.007256,351.95184584558746,364.10685406628954,1444.3940372369511,1775.4853713758753,1773.9055340556972,-484.0166190147851,-618.146956307891
-87.8,304,634.024475,416.9617021980307,391.1191117113977,679.8481326947759,786.5186792996832,1047.794076376157,-105.60789321956325,-623.1133016848662
-170.4,310,666.077766,384.26848949545905,339.3359054529379,914.7476959004364,1187.5161992663836,1268.3682567353353,-319.7825355434717,-971.6394178309079
-377.4,330,700.246441,605.93667363428,532.2364985633609,1527.6291290334038,2832.4444491745626,2181.368893198311,-579.9707866370225,-1113.334877883962
-1914.2,353,745.717463,355.6648478737045,0.0,7120.836359872735,6338.8124563616675,0.0,-1438.5146495709175,-32827.64002373679
-1969.5,356,771.776692,371.4018615096199,332.6763993641757,8644.080831409501,7582.407302210799,0.0,-1426.189553809836,-32046.09589194212
-2021.4,356,797.411222,349.36527753490304,0.0,7411.678794421307,6500.905648451738,0.0,-1502.5350836985206,-33601.2034737864
-733.2,353,842.722224,977.8110539022923,1143.616141681382,2202.846619297792,2884.429285297979,4401.505076849137,-826.0373847005676,-911.5781740224935
-814.4,354,872.703331,1237.3289643669566,1644.4765094747038,2275.869362158029,5318.389367170415,4351.23506980513,-784.6011707386926,-870.8042959958609
-881.8,354,904.31472,1495.5533559933476,1098.7450143101023,2604.529312136209,3758.970017856328,5561.286884966999,-903.6193939734893,-1121.5555161046905
-132.9,311,932.060701,396.9477003317558,362.7103353111365,827.6197302322397,1250.540592461608,1238.1768026628436,-221.24966861245477,-868.604220458665
-151.6,318,963.959656,394.431390758638,394.91717930293595,821.6652194027005,1474.8319007033244,1192.1008972462905,-264.59472172715783,-633.6290850465895
-338.0,325,996.643216,569.9871588380834,488.3609246765146,1160.9288417297669,2415.974373547761,2104.5102948907333,-446.0664124132167,-855.2084838341265
-120.2,305,1029.812044,369.3237012300805,334.34456133407105,756.8240912632765,974.2321773380424,1031.6053318337226,-165.19972140587936,-955.4623756668216
-261.8,315,1064.364028,400.58945396277494,368.30909006206105,1080.3926507870449,1538.3364523420184,1726.5887265972515,-362.9538050591613,-959.3183188532366
-122.2,308,1097.902178,376.33436165180376,368.2871267457925,740.2537051538357,1106.7642785005257,1123.266010041785,-178.7692987962794,-1028.26836538322
-90.7,307,1130.222147,376.7072287146284,362.9693975378889,719.0672158610405,751.1685276879017,1262.8812227423373,-148.4210704938603,-807.9446197444873
