#{"t_start": 1678670363.7781165, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-2149.931126,358,20.201175,2782.6413363614884,3488.6712225086003,4769.974937596574,6548.284989879658,4389.540656778319,-1087.031126070806,-740.18240654664
-2390.149048,349,38.438381,5651.671622586232,5804.736011965761,7475.77967759749,8119.5987311947,6076.495752910416,-1154.8490477931596,-861.5495897535468
-1393.131492,336,83.565586,557.6734281905098,592.7939623859589,2246.1624824906557,2073.074721272476,2355.8452039317513,-828.7314918136974,-840.7923991409197
-2569.148122,363,102.988283,5021.6514472967765,4213.979800541868,7338.504197516949,7051.782898639467,4866.148051101603,-1155.0481221998225,-668.495969080773
-2237.706332,348,144.597339,4247.8647045584885,6052.432619801812,6892.361743481658,7647.56766882841,6913.822607587607,-1117.1063321375345,-648.2333113933009
-2204.530793,349,163.014031,3752.9041662179516,5612.323134101928,6004.652798322962,7205.165400440459,6029.615639550977,-1095.03079253948,-726.855859163212
-2565.621833,358,205.795907,3296.0789854475092,2079.4360451363677,5658.726096363967,4133.968246727274,3893.1708754779625,-1325.221833310661,-797.7709316597469
-1676.124673,344,227.210851,969.1527542040678,1354.4863297863444,2862.5356606482055,3299.837480504898,2877.7864533388265,-932.024672947256,-738.6697175734524
-256.400397,302,274.134303,294.4278744001622,338.99132977409215,0.0,0.0,0.0,-32.40039680000735,-23451.408406119932
-260.50597,302,297.530184,721.9576213615364,337.43465682992695,0.0,0.0,0.0,-31.505969609007433,-23456.727967687606
-244.400397,302,320.719472,337.1398107348414,338.9920813381347,0.0,0.0,0.0,-32.40039680000735,-23634.77926072864
-1705.997581,344,342.168418,2268.198851720009,1763.5908633180343,4198.377863856703,3712.550700410043,3581.681720983174,-911.7975812270557,-759.606256154869
-1610.346768,339,363.701992,938.290066632898,1047.3417160376052,2399.160048579249,3158.0524870644344,2779.5553241205926,-911.5467678626804,-788.1522651639358
-2558.808157,355,407.985271,3945.142885968162,2606.7307990329064,6159.335789661201,5650.84642551525,4293.829435318464,-1285.0081570521895,-753.1258129867166
-2261.759358,356,428.403066,2879.732572054835,1655.1885810232684,5241.9668306155,3731.8212723075335,3946.5465859527317,-1227.3593584906407,-801.352459050214
-1008.873968,330,474.688641,589.4635433046931,730.9247599308546,1633.395335063715,2196.055906553629,1973.57408131131,-588.2739679958822,-677.6004011409336
-2243.59434,348,494.706939,3334.5262283667435,2564.6856127853953,5827.068882056663,4869.944537566734,3693.586035939153,-1142.3943399795676,-803.8707483838896
-664.629711,308,516.322846,366.56896896570447,344.418786914684,1388.6914315759777,1248.055827599284,1866.5916402649138,-427.62971138580775,-552.320970832318
-1422.049576,308,543.806217,1117.5701416615143,1073.4289891134035,2877.349455380618,2720.3276210065987,2886.4847693913634,-845.1495758981275,-662.1020227317904
-1213.120684,323,565.784343,585.2897946321885,572.6427915841758,1603.8425583708542,1803.4005509335877,2159.896488551275,-710.4206837092054,-678.234317987299
-1893.366074,351,586.816224,2434.826644540466,2089.466390832875,4174.873425076959,3579.0294392640585,3561.375344296187,-1032.466074087143,-848.3810756382703
-258.094361,302,617.853224,547.6563891708707,333.80114983750724,0.0,0.0,0.0,-117.09436141007056,-23758.65729455897
-224.742409,302,640.789814,497.6409563105728,335.2355250620846,0.0,0.0,0.0,-105.54240853799027,-23861.623598225076
-262.59499,303,664.117006,452.34151127923957,329.66477656324156,0.0,0.0,0.0,-107.59498950054636,-23714.709019359303
-1862.850739,340,686.20751,799.9780848000489,809.9312175989223,2742.833011751296,2726.1473793486452,2901.9736921960207,-1070.850738722479,-844.4722211183561
-1451.159096,311,706.884677,665.2656853206544,646.9402809369531,2337.541082301781,2810.2446846595662,2881.968509508522,-870.4590959537738,-701.6651833691153
-1830.939561,345,729.307858,749.4641623657778,999.6080587694718,2648.6082497700795,2887.6548293099095,2973.501942213657,-1036.0395606749212,-824.7493703336953
-1888.99999,344,756.879062,1192.9635893512066,1592.7450934386213,3722.678026670881,3328.857990761251,3367.587000245936,-1040.7999901706792,-899.3860023633721
-1927.279577,345,778.15334,2061.066694069455,1778.509074708514,3740.1833040043975,3329.3016900972343,3494.5053087995825,-1066.7795774606993,-928.7005637564264
-573.052983,329,824.5609,378.31721473037135,328.8020351686196,1063.425606685568,1209.2200347842345,1298.786681939776,-368.5529831950087,-814.7452138727839
-2142.081962,359,846.125737,2077.1784854553784,1574.7976309413461,3371.0912550626344,4312.070474978106,3610.1601904409695,-1129.2819619121785,-734.1957987865885
-1418.653144,331,868.181793,601.8811478904402,684.3206428530906,2116.141900908027,2362.1303691316207,2215.8229286128353,-834.1531439378656,-866.9575095864421
-716.654292,309,894.869859,350.1030316352702,305.33947538901805,1154.571696378363,1474.3285668745395,1522.6431834692607,-455.6542915841705,-699.9438130284714
-1495.774763,315,915.898276,667.1934806541454,611.9252852510867,2280.1174020213093,2231.8180378648117,2647.921710843127,-884.4747634251063,-872.6388263503361
-1648.966481,326,937.531473,646.154978111727,547.3492856550939,2337.7574730158913,2696.521844834405,2579.8688365895464,-965.9664806943673,-980.9465170944649
-193.94648,302,971.538135,450.26650124591947,324.0839098684741,0.0,408.9963821953097,0.0,-64.94648030949918,-20234.360960244845
-252.877401,302,994.44696,536.434628051787,333.21399016268293,0.0,335.8743150687369,0.0,-98.77740103105991,-20197.480520678448
-193.94648,302,1017.456392,450.26650124591947,324.0839098684741,0.0,408.9963821953097,0.0,-64.94648030949918,-20234.360960244845
-383.921542,320,1041.037027,370.7180438795409,338.1822914964279,977.6138704477628,1085.3607247785337,1040.4670706390796,-257.12154188529297,-845.5642726475927
-264.434623,310,1064.058454,384.0253720831711,320.9866834728514,749.920649060887,827.0323975054172,923.6264008823335,-168.73462296621867,-645.6180458530577
-706.448152,331,1087.43903,505.3088650236395,454.04575454525366,1341.938800743806,1561.410196339103,1440.1774516935707,-409.8481516172121,-848.2611160900909
-535.7062,308,1117.998631,362.0396974637899,343.6662164428214,1169.1517616168446,1191.3341287619908,1362.9055887642676,-340.90619973553885,-872.102379722916
-426.519412,314,1140.745176,365.8653021633569,323.75719699943403,903.9876376524592,1289.1852539419115,1260.4469335035967,-298.2194124192513,-1166.4422609723433
-519.420625,310,1164.476838,373.24096988619357,354.5719845765225,1062.6338623781758,1385.85195508704,1362.5990469513329,-346.5206252266687,-753.8863267059122
-294.816686,314,1200.866819,381.03137255358996,324.3993890367224,831.8761309041066,875.5102168824238,1126.8295263841096,-204.21668560456024,-1288.4295634129185
-498.97581,313,1223.838451,369.9129585177624,345.72401841735797,1248.5805449776365,1161.4668795400385,1218.7104856566634,-312.47580966346135,-1036.9028145681712
-374.717146,330,1248.034163,373.38398510577645,365.2193772392595,690.8728932915312,1109.5599729180499,1087.8598958034745,-221.21714630228345,-1107.3557140501885
-144.223452,307,1280.116407,363.7536835425027,325.64511704028683,743.6238458392302,769.3913901187211,897.5524656427061,-99.22345202940576,-1245.8940739132006
-151.419663,310,1303.393885,366.59146867420833,328.0664539786987,699.8547076232898,737.0997272028203,903.289061880459,-109.31966286609541,-1033.0251213066867
-189.526369,310,1326.73945,355.45376754111794,354.0437434260443,720.031438618942,762.1822072450004,922.7032039989456,-116.5263694561726,-1751.7520550546858
