#{"t_start": 1678884060.8979232, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-1105.7,349,28.109373,2687.761527773371,4099.574650212902,4638.917061133868,5508.657145409087,4663.9699178217215,10.813960113960148,8.438176638176644
-1303.5,368,58.634456,3069.521090012132,4033.253445824822,5179.196707339855,6637.482854225006,4756.020189107567,11.607027027027065,6.49378378378379
-1300.9,366,87.973562,2994.810607846216,2937.1926050447496,4838.645251858082,5593.8490620399325,4194.693053036576,11.910597826086942,6.720380434782603
-1179.5,362,119.734436,2939.9532321676056,2186.510121675569,4521.80073737936,4617.981316626041,4773.556937766763,13.386538461538473,7.650549450549465
-590.7,345,153.52129,607.3305106431565,849.813659460694,1815.6852462154345,2912.900540057774,2799.7730302763575,5.913832853025927,10.0821325648415
-866.3,343,185.892559,2048.331557628239,2068.3111543220953,3496.682899851613,4354.320257385938,4049.3573354514883,10.158260869565217,4.2165217391304335
-903.5,360,221.242384,1737.3980149454742,1380.9640589981611,2733.648560527394,2914.474413961273,2990.0456805539848,9.755248618784531,5.384806629834252
-792.4,342,251.728389,956.6971552554601,2859.535533182742,3309.6015624378465,4425.975791051263,3494.042510943946,8.599127906976763,9.938081395348842
-358.2,306,281.973927,498.9754201420351,450.4052417431553,1719.2563141527216,1932.4834396419303,1585.0032729907307,4.62402597402597,21.43116883116883
-77.7,302,319.609103,367.1636304863619,365.1253001620588,629.0696952992934,659.4854689120265,1010.7003282208858,0.28881578947368425,12.585855263157898
-289.5,303,383.084171,535.0515299125144,309.9035628755628,0.0,0.0,705.3323885457462,0.7596721311475418,2411.128524590164
-196.5,302,413.887652,433.49265760262114,266.8796950380758,0.0,0.0,841.1512363695572,0.22960526315789515,1052.6059210526316
-290.0,303,443.568292,564.5736221683154,316.1285626832573,0.0,0.0,888.9025260546408,1.0488524590163935,1516.535081967213
-116.0,303,483.770043,374.35850540382853,347.7116850368371,553.5891411772265,621.5891342044883,945.2731645089441,0.07049180327868838,93.14327868852459
-74.9,303,520.719552,348.2871442779175,344.63178406005284,682.7658235366517,689.2552837218774,897.3402601454987,0.1524590163934426,8.73180327868852
-327.1,304,556.567456,417.10178290438967,407.28373195952054,1554.4880881480867,1557.0779892984583,2483.8328781516666,3.7653594771241794,13.084313725490201
-132.1,303,592.864814,376.6606267959139,369.29947780149564,838.3984305357234,889.9159142877288,1084.1737014133143,0.3721311475409836,16.434754098360653
-530.8,308,627.343337,942.4638715817443,645.493612037383,1695.6133464190784,2512.8927110612517,2707.7429462151313,6.272580645161284,10.449677419354828
-222.5,303,662.637128,362.1256008891194,351.07759274696446,1093.7641763522713,1278.336623439478,1189.553168628654,1.6340983606557382,20.4367213114754
-417.2,305,696.741968,405.9558545683771,393.9323919947847,1623.7673554701212,1786.1491051937849,2294.056292174091,4.556677524429962,12.96612377850163
-91.6,303,733.295061,444.68413159499767,365.99483848812594,1161.0192817024447,889.8079944478155,1002.0532338429904,0.6311475409836069,29.71770491803279
-118.8,302,768.734859,388.570544226594,318.1988010313089,632.1432119104538,760.7059232721954,979.5754938575219,0.1256578947368423,632.6302631578949
-246.4,307,805.884573,405.23384310837645,342.526677382563,1176.4635290112085,1419.1655865010682,1690.9717024137312,2.793851132686084,17.177669902912616
-96.0,302,855.266634,403.3575355496321,361.2225005974431,0.0,846.5304859888414,740.3494966485256,0.08881578947368411,52.08815789473682
-97.0,304,886.845046,399.1635604338485,374.01307985646514,0.0,0.0,889.6538527688824,0.07843137254901951,43.27483660130716
-111.0,303,917.050157,410.3130082757492,339.8449989345576,0.0,0.0,869.1411512089344,0.082950819672131,35.58459016393444
-169.5,303,967.613938,369.7420575115345,362.87051936895983,1314.3496423951792,1103.787568384864,1310.350397992807,1.5422950819672128,16.19049180327869
-385.6,323,1003.155946,738.6034414342181,695.246131689051,2517.559072838142,1875.2031536918373,2252.057868993588,5.930153846153836,12.20030769230769
-111.1,309,1038.68412,360.88897612381913,354.62051349579747,849.1029781353877,1225.6064695005985,1206.9182280003613,1.1569131832797424,12.385852090032158
-299.0,322,1074.393359,392.1306373178732,391.2706141465476,1280.5869448760711,1542.8176315397368,1625.753849901444,3.628086419753082,9.76728395061729
-184.9,310,1110.818712,384.00422659499753,371.8000498105683,1193.2396937713074,1303.3768161918274,1347.9974406299739,2.0166666666666644,10.765705128205123
-315.4,314,1145.196098,441.30447074900405,446.3540629750926,1535.8278809585518,1954.414570903322,1687.3107202234012,4.347151898734173,9.738924050632898
-92.9,302,1181.184397,369.8178529281101,308.823562383101,759.6826160367483,867.3548779473103,1145.3594237328207,0.7871710526315785,13.273684210526307
-42.3,305,1217.960642,370.02389231642445,370.311881965533,698.2636814841574,815.3917568190678,1014.4663243190475,0.29739413680781757,9.870358306188916
-57.2,303,1255.98387,368.28783391429766,371.5429668776099,706.4666023773307,955.5737073396159,999.6001935311579,0.4360655737704916,14.541639344262292
-43.6,302,1295.21674,358.16561802023085,356.2260416735818,736.3682823751227,765.3186177176793,969.0642817722256,0.2782894736842106,10.036842105263158
-98.9,304,1339.631345,422.4607110167736,363.66743935680364,610.7466889114887,0.0,939.8176239462044,0.1071895424836601,39.05065359477123
-94.8,302,1372.671774,371.70352217415825,358.3953973717789,513.272335182671,0.0,835.9367527786765,0.07894736842105256,50.360526315789436
-87.7,302,1406.533538,380.76384071920296,402.3638260947852,663.6763133711272,0.0,692.1972610959729,0.17730263157894788,42.32499999999998
-44.8,301,1437.628881,376.83733427874563,338.8047523240228,700.2672317504289,989.3550223417185,920.9496342754868,0.3613861386138614,10.307920792079203
-56.0,305,1475.743752,365.4211726753817,350.272988614377,657.8801784794421,825.8163206495101,987.5826765508262,0.44723127035830607,12.522801302931592
-61.1,304,1514.745607,385.18634454843226,394.85509481458024,696.9866163620197,1055.588290000073,993.1382815369126,0.4352941176470584,10.332679738562087
-124.7,303,1555.063501,372.38294274902086,338.00532254660794,900.7174242696916,1380.9174741304364,1239.0548621004514,0.9560655737704921,9.024590163934432
-50.1,304,1593.09792,351.9243701328194,324.0835153668158,735.7630133010816,679.6814455047326,949.6214456045311,0.2983660130718957,5.12222222222222
-80.0,303,1630.979644,357.8444658958734,340.33450240004225,820.8538678767242,1124.1488178335264,1253.2473133890942,0.5173770491803277,6.3596721311475415
-64.4,301,1670.093854,371.74047765391003,347.56826821694733,733.8019738597367,672.4846512930255,1125.0762899173317,0.401980198019802,9.997029702970302
-65.3,307,1709.492406,400.46882975042547,387.0582794078543,655.9751458690083,971.3313480750227,892.9338594483186,0.28673139158576044,10.75792880258899
