#{"t_start": 1678887424.609708, "env_id": null}
r,l,t,Typ1,Typ2,Typ3,Typ4,Typ5,Warteschlangen,Auslastung
-2281.1,361,26.41747,3943.429372055208,4535.644901973903,6240.09004168665,6465.117164006117,5685.293573293429,10.223691460055093,4.120661157024792
-2677.2,344,53.947614,5610.320742227649,6318.560609651637,10710.165379823797,7376.074024700738,7580.1876731011935,11.898843930635849,5.612138728323695
-3072.8,363,83.623701,6781.259311262228,6096.401526220679,9196.194408202306,7522.505640346264,5919.477303895946,13.975890410958899,6.101917808219176
-3209.0,357,112.79185,7075.869798746596,5072.863339047854,10918.014095008279,7554.376178384645,6742.082847519882,16.79665738161559,7.4643454038997366
-2275.4,358,143.896017,3275.5365642829884,5004.4693066588825,6922.376274401721,5988.667794120558,4271.953571470445,9.69888888888889,5.455277777777775
-2807.2,357,171.34116,5072.482131897884,6522.083953243078,8787.336407981118,7663.957691540489,6623.02413112866,12.908913649025068,8.952089136490263
-2075.0,365,203.073621,1547.5169166333417,2673.358138252615,4261.087590142922,4278.9130031405475,3638.493364061935,9.574386920980947,6.798365122615793
-2250.6,346,231.831519,2653.27493234559,5228.269554558702,6558.120708104077,5528.579810288395,5311.530585960246,9.783333333333347,9.325287356321839
-1066.2,340,266.675814,710.2801031487103,1182.149412820507,2457.241702897902,2123.34106947532,2333.8722818986757,5.6985380116959,12.140935672514614
-920.2,340,304.503174,637.3649740005319,524.7620814387009,1445.4628680528474,1642.898795746853,3053.9335733425405,5.576315789473675,269.7774853801171
-3147.8,352,375.254783,514.211979260578,0.0,5966.200774840688,7868.916019145372,0.0,17.5378531073447,10954.34661016949
-3106.8,353,412.646498,386.4186614019921,0.0,6006.41056202719,6647.760042408199,0.0,16.636338028169078,10930.618873239438
-3231.6,353,448.31238,407.83551381734395,0.0,6105.597542834349,6443.630316455554,0.0,16.61098591549302,10855.214929577467
-205.2,313,492.110315,363.2562401153205,355.56923322695565,656.1386182435991,716.176564951322,1023.0580396421052,0.844761904761905,39.139365079365064
-626.6,313,528.862958,371.7293712315035,389.6109876086531,1308.6732035581504,1454.9819449811412,1552.9115376195784,3.8215873015873005,10.382222222222214
-376.2,317,570.469247,378.50580818535104,380.95141166003197,1037.285913259022,1387.6915983926228,1290.5125552111879,2.053291536050155,7.814733542319747
-185.2,303,608.057902,378.98988221689706,316.4715911177313,907.8544988823406,1083.88623905422,1032.6274770120126,0.6062295081967207,4.185901639344265
-617.2,327,648.896429,450.9605633927908,447.9181971559901,1327.3901999570844,1712.1536017377477,1853.2020970246183,3.873860182370816,23.067781155015204
-212.4,305,686.429262,359.96260385655387,322.78969055267737,828.3527649013612,1162.30350116549,1050.2060606821074,0.8420195439739417,17.96319218241042
-483.6,324,728.005929,423.7772452357674,348.7151751833703,1044.2166552564636,1999.2200757528406,1409.7914840602937,2.820245398773003,17.915950920245383
-347.0,309,766.261801,460.17912777103396,399.0640535423394,990.2372134033313,1811.529682383448,1155.5915213710327,1.6546623794212212,12.910610932475878
-229.2,305,806.75943,366.6838813635639,335.5407246992822,757.2513958388085,1305.9890900448179,1115.014976101127,1.0713355048859927,19.57394136807817
