#{"t_start": 1677765389.3522892, "env_id": null}
r,l,t
-11.4,303,23.187989
-8.2,303,45.746609
-6.0,304,81.057431
-4.0,305,102.417298
-5.0,304,137.835119
-6.0,306,161.426717
-19.3,303,193.851154
-15.2,302,215.246625
-5.0,304,250.475554
-2.0,304,272.093566
-3.0,303,315.26593
-4.0,303,335.298106
-5.0,305,354.823663
-8.8,303,397.376307
-5.4,305,417.999251
-4.0,305,448.366325
-7.4,304,467.603164
-2.2,303,499.003387
-6.2,305,519.86357
-5.0,303,552.208929
-5.0,304,572.648114
-5.2,302,605.304873
-5.0,304,627.307711
-8.0,304,647.693711
0.0,302,669.704807
-1.0,303,704.139304
-3.0,302,724.799691
-2.0,303,759.157502
-4.2,303,780.095256
-3.2,303,812.825286
-25.8,303,833.236232
-3.0,302,866.404552
-4.4,303,886.347532
-5.0,302,916.337888
-5.0,303,948.531923
-1.0,302,969.32121
-3.0,303,1013.160056
-11.7,304,1034.179457
-5.2,302,1067.781784
-1.0,302,1088.82337
-4.0,302,1121.922281
-4.2,302,1142.739073
-5.4,302,1175.511841
-13.0,302,1196.478765
-11.6,304,1230.733983
-5.0,304,1252.524764
-4.0,304,1277.247635
-6.2,302,1298.955447
-14.4,302,1329.891136
-1.2,302,1350.056579
0.0,303,1382.54002
-12.4,302,1402.742463
-4.0,302,1435.237896
-19.2,303,1454.212363
-2.4,302,1486.790023
-4.0,303,1506.059661
-6.2,306,1536.72951
-3.0,304,1556.249751
-11.0,302,1589.062386
-6.0,303,1609.439702
-1.0,305,1629.387362
-8.0,307,1649.772621
-3.0,305,1678.21044
-4.0,304,1698.330721
-3.0,303,1728.946772
-23.7,302,1748.080742
-17.8,303,1778.948744
-9.6,305,1799.198433
-1.0,303,1830.757694
-4.0,303,1852.339839
-15.0,303,1899.553879
-9.0,303,1920.090163
-5.0,303,1941.264448
-6.0,303,1982.279506
-3.2,302,2003.2927
-2.0,305,2038.249968
-24.3,304,2058.742828
-1.0,303,2091.602954
-2.0,302,2112.925634
-5.2,303,2146.062925
-15.8,303,2166.792832
-9.4,304,2199.512656
-12.0,302,2225.822641
-9.0,304,2246.882926
0.0,305,2269.48275
-3.4,302,2299.052528
-96.9,303,2319.382485
-20.1,306,2352.532858
-3.0,303,2373.442693
-19.7,306,2406.662676
-10.7,305,2427.602874
-3.6,302,2460.002589
-73.6,305,2480.36242
0.0,303,2512.888048
-13.0,303,2547.232295
-13.0,303,2567.762487
-2.2,304,2606.562145
-3.0,303,2626.135196
0.0,302,2657.012682
-6.0,303,2677.17372
-3.0,302,2708.475788
-4.0,303,2729.848278
-4.0,303,2761.882699
-8.2,302,2782.062973
-1.0,303,2813.438399
-4.0,303,2833.650183
0.0,303,2857.232213
-5.0,303,2876.958367
-8.6,304,2903.552263
-23.3,303,2923.121715
-11.2,303,2953.30541
-11.5,303,2973.438472
0.0,303,3005.271198
-2.0,304,3025.767229
-6.9,303,3056.847608
-4.0,303,3077.374178
-2.0,302,3109.676518
0.0,303,3130.044348
0.0,302,3165.513696
-4.0,303,3185.113736
-1.0,303,3205.653743
-1.0,302,3225.787719
-2.2,303,3253.21344
0.0,302,3273.745034
-5.6,303,3305.571306
-1.0,302,3325.956842
-3.6,302,3357.727216
-2.4,303,3378.990222
-3.0,304,3410.364876
-1.0,303,3430.544584
0.0,304,3477.912844
-1.0,302,3497.103813
-2.2,303,3517.001347
0.0,303,3552.750739
-1.0,302,3572.444154
-2.0,304,3603.285407
-1.0,302,3623.119539
-1.0,303,3654.038964
0.0,302,3673.62195
0.0,302,3704.511336
-3.4,302,3724.36202
-10.2,303,3753.791299
-2.0,303,3777.707922
0.0,305,3795.787653
-1.0,302,3814.934133
-1.0,304,3844.505634
-12.6,304,3863.509165
-2.2,303,3892.406914
-8.6,305,3910.863288
-3.9,304,3939.870274
-1.0,304,3958.450783
